2025-04-16 18:37:01,Xe tải,1,frames/frame_2025-04-16 18-37-01.jpg,Unknown
2025-04-16 18:37:01,Xe máy,2,frames/frame_2025-04-16 18-37-01.jpg,Unknown
2025-04-16 18:37:01,Xe tải,1,frames/frame_2025-04-16 18-37-01.jpg,Unknown
2025-04-16 18:37:01,Xe máy,2,frames/frame_2025-04-16 18-37-01.jpg,Unknown
2025-04-16 18:37:02,Xe tải,1,frames/frame_2025-04-16 18-37-02.jpg,Unknown
2025-04-16 18:37:02,Xe máy,2,frames/frame_2025-04-16 18-37-02.jpg,Unknown
2025-04-16 18:37:02,Xe tải,1,frames/frame_2025-04-16 18-37-02.jpg,Unknown
2025-04-16 18:37:02,Xe máy,2,frames/frame_2025-04-16 18-37-02.jpg,Unknown
2025-04-16 18:37:02,Xe tải,1,frames/frame_2025-04-16 18-37-02.jpg,Unknown
2025-04-16 18:37:02,Xe máy,2,frames/frame_2025-04-16 18-37-02.jpg,Unknown
2025-04-16 18:37:03,Xe tải,1,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:03,Xe máy,2,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:03,Xe tải,1,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:03,Xe máy,2,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:03,Xe tải,1,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:03,Xe máy,2,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:03,Xe máy,2,frames/frame_2025-04-16 18-37-03.jpg,Unknown
2025-04-16 18:37:04,Xe tải,1,frames/frame_2025-04-16 18-37-04.jpg,Unknown
2025-04-16 18:37:04,Xe máy,2,frames/frame_2025-04-16 18-37-04.jpg,Unknown
2025-04-16 18:37:04,Xe máy,2,frames/frame_2025-04-16 18-37-04.jpg,Unknown
2025-04-16 18:37:04,Xe tải,1,frames/frame_2025-04-16 18-37-04.jpg,Unknown
2025-04-16 18:37:04,Xe máy,2,frames/frame_2025-04-16 18-37-04.jpg,Unknown
2025-04-16 18:37:04,Xe máy,2,frames/frame_2025-04-16 18-37-04.jpg,Unknown
2025-04-16 18:37:05,Xe tải,1,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:05,Xe máy,2,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:05,Xe máy,2,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:05,Xe tải,1,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:05,Xe máy,2,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:05,Xe tải,1,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:05,Xe máy,2,frames/frame_2025-04-16 18-37-05.jpg,Unknown
2025-04-16 18:37:06,Xe tải,1,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:06,Xe máy,2,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:06,Xe tải,1,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:06,Xe máy,2,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:06,Xe tải,1,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:06,Xe máy,2,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:06,Xe máy,2,frames/frame_2025-04-16 18-37-06.jpg,Unknown
2025-04-16 18:37:07,Xe tải,1,frames/frame_2025-04-16 18-37-07.jpg,Unknown
2025-04-16 18:37:07,Xe máy,2,frames/frame_2025-04-16 18-37-07.jpg,Unknown
2025-04-16 18:37:07,Xe máy,2,frames/frame_2025-04-16 18-37-07.jpg,Unknown
2025-04-16 18:37:07,Xe tải,1,frames/frame_2025-04-16 18-37-07.jpg,Unknown
2025-04-16 18:37:08,Xe máy,2,frames/frame_2025-04-16 18-37-08.jpg,Unknown
2025-04-16 18:37:08,Xe tải,1,frames/frame_2025-04-16 18-37-08.jpg,Unknown
2025-04-16 18:37:08,Xe máy,2,frames/frame_2025-04-16 18-37-08.jpg,Unknown
2025-04-16 18:37:08,Xe tải,1,frames/frame_2025-04-16 18-37-08.jpg,Unknown
2025-04-16 18:37:08,Xe máy,2,frames/frame_2025-04-16 18-37-08.jpg,Unknown
2025-04-16 18:37:08,Xe tải,1,frames/frame_2025-04-16 18-37-08.jpg,Unknown
2025-04-16 18:37:09,Xe máy,2,frames/frame_2025-04-16 18-37-09.jpg,Unknown
2025-04-16 18:37:09,Xe tải,1,frames/frame_2025-04-16 18-37-09.jpg,Unknown
2025-04-16 18:37:09,Xe máy,2,frames/frame_2025-04-16 18-37-09.jpg,Unknown
2025-04-16 18:37:09,Xe tải,1,frames/frame_2025-04-16 18-37-09.jpg,Unknown
2025-04-16 18:37:10,Xe tải,1,frames/frame_2025-04-16 18-37-10.jpg,Unknown
2025-04-16 18:37:10,Xe máy,2,frames/frame_2025-04-16 18-37-10.jpg,Unknown
2025-04-16 18:37:10,Xe tải,1,frames/frame_2025-04-16 18-37-10.jpg,Unknown
2025-04-16 18:37:10,Xe máy,2,frames/frame_2025-04-16 18-37-10.jpg,Unknown
2025-04-16 18:37:10,Xe tải,1,frames/frame_2025-04-16 18-37-10.jpg,Unknown
